City,Date,AQI,AQI_Bucket
Ahmedabad,1/1/2015,,
Ahmedabad,1/2/2015,,
Ahmedabad,1/3/2015,,
Ahmedabad,1/4/2015,,
Ahmedabad,1/5/2015,,
Ahmedabad,1/6/2015,,
Ahmedabad,1/7/2015,,
Ahmedabad,1/8/2015,,
Ahmedabad,1/9/2015,,
Ahmedabad,1/10/2015,,
Ahmedabad,1/11/2015,,
Ahmedabad,1/12/2015,,
Ahmedabad,1/13/2015,,
Ahmedabad,1/14/2015,,
Ahmedabad,1/15/2015,,
Ahmedabad,1/16/2015,,
Ahmedabad,1/17/2015,,
Ahmedabad,1/18/2015,,
Ahmedabad,1/19/2015,,
Ahmedabad,1/20/2015,,
Ahmedabad,1/21/2015,,
Ahmedabad,1/22/2015,,
Ahmedabad,1/23/2015,,
Ahmedabad,1/24/2015,,
Ahmedabad,1/25/2015,,
Ahmedabad,1/26/2015,,
Ahmedabad,1/27/2015,,
Ahmedabad,1/28/2015,,
Ahmedabad,1/29/2015,209,Poor
Ahmedabad,1/30/2015,328,Very Poor
Ahmedabad,1/31/2015,514,Severe
Ahmedabad,2/1/2015,782,Severe
Ahmedabad,2/2/2015,914,Severe
Ahmedabad,2/3/2015,660,Severe
Ahmedabad,2/4/2015,294,Poor
Ahmedabad,2/5/2015,149,Moderate
Ahmedabad,2/6/2015,190,Moderate
Ahmedabad,2/7/2015,247,Poor
Ahmedabad,2/8/2015,379,Very Poor
Ahmedabad,2/9/2015,341,Very Poor
Ahmedabad,2/10/2015,256,Poor
Ahmedabad,2/11/2015,388,Very Poor
Ahmedabad,2/12/2015,288,Poor
Ahmedabad,2/13/2015,510,Severe
Ahmedabad,2/14/2015,761,Severe
Ahmedabad,2/15/2015,475,Severe
Ahmedabad,2/16/2015,536,Severe
Ahmedabad,2/17/2015,479,Severe
Ahmedabad,2/18/2015,592,Severe
Ahmedabad,2/19/2015,427,Severe
Ahmedabad,2/20/2015,588,Severe
Ahmedabad,2/21/2015,1141,Severe
Ahmedabad,2/22/2015,669,Severe
Ahmedabad,2/23/2015,1247,Severe
Ahmedabad,2/24/2015,411,Severe
Ahmedabad,2/25/2015,292,Poor
Ahmedabad,2/26/2015,,
Ahmedabad,2/27/2015,,
Ahmedabad,2/28/2015,,
Ahmedabad,3/1/2015,,
Ahmedabad,3/2/2015,189,Moderate
Ahmedabad,3/3/2015,408,Severe
Ahmedabad,3/4/2015,383,Very Poor
Ahmedabad,3/5/2015,780,Severe
Ahmedabad,3/6/2015,,
Ahmedabad,3/7/2015,,
Ahmedabad,3/8/2015,190,Moderate
Ahmedabad,3/9/2015,233,Poor
Ahmedabad,3/10/2015,297,Poor
Ahmedabad,3/11/2015,330,Very Poor
Ahmedabad,3/12/2015,252,Poor
Ahmedabad,3/13/2015,244,Poor
Ahmedabad,3/14/2015,234,Poor
Ahmedabad,3/15/2015,219,Poor
Ahmedabad,3/16/2015,118,Moderate
Ahmedabad,3/17/2015,231,Poor
Ahmedabad,3/18/2015,286,Poor
Ahmedabad,3/19/2015,883,Severe
Ahmedabad,3/20/2015,720,Severe
Ahmedabad,3/21/2015,570,Severe
Ahmedabad,3/22/2015,589,Severe
Ahmedabad,3/23/2015,818,Severe
Ahmedabad,3/24/2015,737,Severe
Ahmedabad,3/25/2015,585,Severe
Ahmedabad,3/26/2015,616,Severe
Ahmedabad,3/27/2015,437,Severe
Ahmedabad,3/28/2015,321,Very Poor
Ahmedabad,3/29/2015,372,Very Poor
Ahmedabad,3/30/2015,339,Very Poor
Ahmedabad,3/31/2015,339,Very Poor
Ahmedabad,4/1/2015,324,Very Poor
Ahmedabad,4/2/2015,222,Poor
Ahmedabad,4/3/2015,169,Moderate
Ahmedabad,4/4/2015,220,Poor
Ahmedabad,4/5/2015,,
Ahmedabad,4/6/2015,303,Very Poor
Ahmedabad,4/7/2015,314,Very Poor
Ahmedabad,4/8/2015,378,Very Poor
Ahmedabad,4/9/2015,415,Severe
Ahmedabad,4/10/2015,,
Ahmedabad,4/11/2015,126,Moderate
Ahmedabad,4/12/2015,175,Moderate
Ahmedabad,4/13/2015,226,Poor
Ahmedabad,4/14/2015,244,Poor
Ahmedabad,4/15/2015,315,Very Poor
Ahmedabad,4/16/2015,678,Severe
Ahmedabad,4/17/2015,774,Severe
Ahmedabad,4/18/2015,285,Poor
Ahmedabad,4/19/2015,321,Very Poor
Ahmedabad,4/20/2015,358,Very Poor
Ahmedabad,4/21/2015,357,Very Poor
Ahmedabad,4/22/2015,189,Moderate
Ahmedabad,4/23/2015,,
Ahmedabad,4/24/2015,214,Poor
Ahmedabad,4/25/2015,253,Poor
Ahmedabad,4/26/2015,239,Poor
Ahmedabad,4/27/2015,,
Ahmedabad,4/28/2015,,
Ahmedabad,4/29/2015,300,Poor
Ahmedabad,4/30/2015,317,Very Poor
Ahmedabad,5/1/2015,240,Poor
Ahmedabad,5/2/2015,344,Very Poor
Ahmedabad,5/3/2015,503,Severe
Ahmedabad,5/4/2015,308,Very Poor
Ahmedabad,5/5/2015,227,Poor
Ahmedabad,5/6/2015,120,Moderate
Ahmedabad,5/7/2015,158,Moderate
Ahmedabad,5/8/2015,177,Moderate
Ahmedabad,5/9/2015,201,Poor
Ahmedabad,5/10/2015,211,Poor
Ahmedabad,5/11/2015,221,Poor
Ahmedabad,5/12/2015,233,Poor
Ahmedabad,5/13/2015,481,Severe
Ahmedabad,5/14/2015,352,Very Poor
Ahmedabad,5/15/2015,327,Very Poor
Ahmedabad,5/16/2015,577,Severe
Ahmedabad,5/17/2015,411,Severe
Ahmedabad,5/18/2015,212,Poor
Ahmedabad,5/19/2015,280,Poor
Ahmedabad,5/20/2015,162,Moderate
Ahmedabad,5/21/2015,,
