date_time,maxtempC,mintempC,totalSnow_cm,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
1/1/2009 0:00,27,12,0,91,0,1014,14,10,8
1/1/2009 1:00,27,12,0,93,0,1014,14,7,6
1/1/2009 2:00,27,12,0,94,0,1014,13,5,4
1/1/2009 3:00,27,12,0,96,0,1014,12,2,3
1/1/2009 4:00,27,12,0,88,0,1015,14,5,3
1/1/2009 5:00,27,12,0,80,0,1016,16,7,3
1/1/2009 6:00,27,12,0,72,0,1016,18,10,4
1/1/2009 7:00,27,12,0,61,0,1016,21,10,5
1/1/2009 8:00,27,12,0,49,0,1015,23,10,6
1/1/2009 9:00,27,12,0,37,0,1014,25,10,7
1/1/2009 10:00,27,12,0,35,0,1013,26,10,7
1/1/2009 11:00,27,12,0,32,0,1012,27,10,8
1/1/2009 12:00,27,12,0,30,0,1011,27,10,8
1/1/2009 13:00,27,12,0,37,0,1011,25,10,7
1/1/2009 14:00,27,12,0,44,0,1011,23,10,5
1/1/2009 15:00,27,12,0,51,0,1011,21,10,4
1/1/2009 16:00,27,12,0,57,0,1012,20,10,5
1/1/2009 17:00,27,12,0,62,0,1014,19,10,7
1/1/2009 18:00,27,12,0,67,0,1015,17,10,8
1/1/2009 19:00,27,12,0,73,0,1015,17,10,9
1/1/2009 20:00,27,12,0,79,0,1015,17,10,10
1/1/2009 21:00,27,12,0,85,0,1015,16,10,12
1/1/2009 22:00,27,12,0,89,0,1015,16,7,11
1/1/2009 23:00,27,12,0,94,0,1015,16,3,11
1/2/2009 0:00,27,16,0,98,0,1015,16,0,10
1/2/2009 1:00,27,16,0,98,0,1015,16,1,8
1/2/2009 2:00,27,16,0,97,0,1014,16,1,6
1/2/2009 3:00,27,16,0,96,0,1014,17,2,3
1/2/2009 4:00,27,16,0,92,0,1015,17,5,4
1/2/2009 5:00,27,16,0,89,0,1016,17,7,4
1/2/2009 6:00,27,16,0,85,0,1016,18,10,5
1/2/2009 7:00,27,16,0,71,0,1016,20,10,5
1/2/2009 8:00,27,16,0,57,0,1016,23,10,6
