date_time,maxtempC,mintempC,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
1/1/2009 0:00,22,9,50,0,1016,10,10,12
1/1/2009 1:00,22,9,51,0,1016,10,10,13
1/1/2009 2:00,22,9,52,0,1016,9,10,13
1/1/2009 3:00,22,9,54,0,1016,9,10,13
1/1/2009 4:00,22,9,52,0,1016,9,10,13
1/1/2009 5:00,22,9,51,0,1017,10,10,12
1/1/2009 6:00,22,9,49,0,1017,11,10,12
1/1/2009 7:00,22,9,44,0,1017,13,10,12
1/1/2009 8:00,22,9,38,0,1018,16,10,13
1/1/2009 9:00,22,9,33,0,1018,19,10,14
1/1/2009 10:00,22,9,30,0,1017,20,10,14
1/1/2009 11:00,22,9,28,0,1016,21,10,15
1/1/2009 12:00,22,9,25,0,1016,22,10,16
1/1/2009 13:00,22,9,41,0,1015,19,10,12
1/1/2009 14:00,22,9,56,0,1015,16,10,9
1/1/2009 15:00,22,9,72,0,1015,12,10,5
1/1/2009 16:00,22,9,68,0,1015,12,10,5
1/1/2009 17:00,22,9,65,0,1015,11,10,6
1/1/2009 18:00,22,9,61,0,1015,11,10,6
1/1/2009 19:00,22,9,58,0,1016,10,10,6
1/1/2009 20:00,22,9,56,0,1016,10,10,7
1/1/2009 21:00,22,9,53,0,1017,10,10,8
1/1/2009 22:00,22,9,54,0,1017,9,10,8
1/1/2009 23:00,22,9,56,0,1017,9,10,8
1/2/2009 0:00,22,5,57,0,1017,8,10,8
1/2/2009 1:00,22,5,64,0,1016,7,10,6
1/2/2009 2:00,22,5,71,0,1016,6,10,4
1/2/2009 3:00,22,5,78,0,1015,5,10,2
1/2/2009 4:00,22,5,71,0,1016,7,10,2
1/2/2009 5:00,22,5,63,0,1017,9,10,3
1/2/2009 6:00,22,5,56,0,1018,11,10,3
1/2/2009 7:00,22,5,49,0,1018,14,10,3
1/2/2009 8:00,22,5,41,0,1019,17,10,2
1/2/2009 9:00,22,5,34,0,1019,19,10,2
1/2/2009 10:00,22,5,31,0,1018,20,10,3
1/2/2009 11:00,22,5,29,0,1017,21,10,3
1/2/2009 12:00,22,5,27,0,1017,22,10,4
1/2/2009 13:00,22,5,42,0,1016,18,10,4
1/2/2009 14:00,22,5,57,0,1015,15,10,4
1/2/2009 15:00,22,5,72,0,1015,12,10,4
1/2/2009 16:00,22,5,73,0,1016,11,10,3
1/2/2009 17:00,22,5,73,0,1016,10,10,3
1/2/2009 18:00,22,5,73,0,1017,10,10,3
1/2/2009 19:00,22,5,73,0,1017,9,10,3
1/2/2009 20:00,22,5,74,0,1017,9,10,3
1/2/2009 21:00,22,5,74,0,1017,9,10,4
1/2/2009 22:00,22,5,74,0,1017,8,10,3
1/2/2009 23:00,22,5,75,0,1016,8,10,3
1/3/2009 0:00,22,6,75,0,1016,7,10,3
1/3/2009 1:00,22,6,76,0,1016,7,10,3
1/3/2009 2:00,22,6,76,0,1017,6,10,2
1/3/2009 3:00,22,6,77,0,1017,6,10,2
1/3/2009 4:00,22,6,71,0,1018,8,10,2
1/3/2009 5:00,22,6,65,0,1018,10,10,3
1/3/2009 6:00,22,6,59,0,1019,11,10,3
1/3/2009 7:00,22,6,50,0,1019,14,10,4
1/3/2009 8:00,22,6,42,0,1019,17,10,5
1/3/2009 9:00,22,6,33,0,1019,19,10,6
1/3/2009 10:00,22,6,31,0,1018,20,10,6
1/3/2009 11:00,22,6,29,0,1017,21,10,5
1/3/2009 12:00,22,6,27,0,1016,22,10,5
1/3/2009 13:00,22,6,42,0,1016,18,10,4
1/3/2009 14:00,22,6,57,0,1015,15,10,3
1/3/2009 15:00,22,6,72,0,1015,11,10,3
1/3/2009 16:00,22,6,65,0,1015,11,10,5
1/3/2009 17:00,22,6,59,0,1015,11,10,6
1/3/2009 18:00,22,6,52,0,1015,11,10,8
1/3/2009 19:00,22,6,51,0,1016,11,10,9
1/3/2009 20:00,22,6,50,0,1016,11,10,9
1/3/2009 21:00,22,6,49,0,1017,11,10,9
1/3/2009 22:00,22,6,51,0,1016,10,10,9
1/3/2009 23:00,22,6,53,0,1016,10,10,9
1/4/2009 0:00,20,8,55,0,1016,9,10,8
1/4/2009 1:00,20,8,57,0,1016,9,10,8
