date_time,maxtempC,mintempC,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
1/1/2009 0:00,30,14,48,0,1013,14,10,6
1/1/2009 1:00,30,14,48,0,1014,14,10,8
1/1/2009 2:00,30,14,48,0,1014,14,10,9
1/1/2009 3:00,30,14,49,0,1015,14,10,10
1/1/2009 4:00,30,14,47,0,1015,15,10,10
1/1/2009 5:00,30,14,45,0,1016,17,10,10
1/1/2009 6:00,30,14,43,0,1017,18,10,10
1/1/2009 7:00,30,14,38,0,1016,21,10,9
1/1/2009 8:00,30,14,32,0,1016,24,10,8
1/1/2009 9:00,30,14,27,0,1015,27,10,7
1/1/2009 10:00,30,14,25,0,1014,28,10,6
1/1/2009 11:00,30,14,23,0,1013,29,10,4
1/1/2009 12:00,30,14,21,0,1012,30,10,2
1/1/2009 13:00,30,14,27,0,1012,26,10,2
1/1/2009 14:00,30,14,32,0,1012,23,10,2
1/1/2009 15:00,30,14,38,0,1012,19,10,2
1/1/2009 16:00,30,14,39,0,1013,19,10,3
1/1/2009 17:00,30,14,40,0,1013,18,10,4
1/1/2009 18:00,30,14,41,0,1014,17,10,5
1/1/2009 19:00,30,14,42,0,1014,17,10,5
1/1/2009 20:00,30,14,43,0,1014,17,10,5
1/1/2009 21:00,30,14,45,0,1015,16,10,6
1/1/2009 22:00,30,14,47,0,1015,16,10,6
1/1/2009 23:00,30,14,50,0,1015,15,10,6
1/2/2009 0:00,29,15,52,0,1015,15,10,6
1/2/2009 1:00,29,15,52,0,1015,15,10,8
1/2/2009 2:00,29,15,52,0,1015,15,10,10
1/2/2009 3:00,29,15,52,0,1015,15,10,12
1/2/2009 4:00,29,15,49,0,1016,16,10,11
1/2/2009 5:00,29,15,47,0,1016,17,10,9
1/2/2009 6:00,29,15,45,0,1017,18,10,8
1/2/2009 7:00,29,15,38,0,1017,21,10,8
1/2/2009 8:00,29,15,32,0,1017,24,10,7
1/2/2009 9:00,29,15,26,0,1017,27,10,6
1/2/2009 10:00,29,15,24,0,1016,28,10,5
1/2/2009 11:00,29,15,23,0,1015,28,10,5
1/2/2009 12:00,29,15,22,0,1014,29,10,4
1/2/2009 13:00,29,15,27,0,1014,26,10,4
1/2/2009 14:00,29,15,33,0,1014,23,10,4
1/2/2009 15:00,29,15,38,0,1014,20,10,4
1/2/2009 16:00,29,15,40,0,1014,19,10,5
1/2/2009 17:00,29,15,41,0,1015,19,10,6
1/2/2009 18:00,29,15,42,0,1016,18,10,6
1/2/2009 19:00,29,15,44,0,1016,18,10,6
