,STATION CODE,LOCATIONS,STATE,Temp,DO,PH,Conductivity,BOD,NI,Fec_col,Tot_col,year,WQI,WQI clf
0,1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",Daman & Diu,30.6,6.7,7.5,203.0,1.8965,0.1,11.0,27.0,2014.0,63.77832089855073,2
1,1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",Goa,29.8,5.7,7.2,189.0,2.0,0.2,4953.0,8391.0,2014.0,175.36350579710148,1
2,1475,ZUARI AT PANCHAWADI,Goa,29.5,6.3,6.9,179.0,1.7,0.1,3243.0,5330.0,2014.0,126.1358307246377,1
3,3181,RIVER ZUARI AT BORIM BRIDGE,Goa,29.7,5.8,6.9,64.0,3.8,0.5,5382.0,8443.0,2014.0,195.10565884057974,1
4,3182,RIVER ZUARI AT MARCAIM JETTY,Goa,29.5,5.8,7.3,83.0,1.9,0.4,3428.0,5500.0,2014.0,141.3932455072464,1
5,1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",Goa,30.0,5.5,7.4,81.0,1.5,0.1,2853.0,4049.0,2014.0,127.97174637681161,1
6,1476,"MANDOVI AT TONCA, MARCELA, GOA",Goa,29.2,6.1,6.7,308.0,1.4,0.3,3355.0,5672.0,2014.0,123.57109130434782,1
7,3185,RIVER MANDOVI AT AMONA BRIDGE,Goa,29.6,6.4,6.7,414.0,1.0,0.2,6073.0,9423.0,2014.0,179.49243710144927,1
8,3186,RIVER MANDOVI AT IFFI JETTY,Goa,30.0,6.4,7.6,305.0,2.2,0.1,3478.0,4990.0,2014.0,147.37916376811597,1
9,3187,RIVER MANDOVI NEAR HOTEL MARRIOT,Goa,30.1,6.3,7.6,77.0,2.3,0.1,2606.0,4301.0,2014.0,129.2725107246377,1
10,1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",Goa,27.8,7.1,7.1,176.0,1.2,0.1,4573.0,7817.0,2014.0,151.2726150724638,1
11,1548,"RIVER ASSONORA AT ASSONORA, GOA",Goa,27.9,6.7,6.4,93.0,1.4,0.1,2147.0,3433.0,2014.0,88.21802289855074,1
12,2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",Goa,29.3,7.4,6.8,121.0,1.7,0.4,11633.0,18125.0,2014.0,307.3618142028986,1
13,2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",Goa,29.2,6.9,7.0,620.0,1.1,0.1,3500.0,6300.0,2014.0,125.66422898550725,1
14,3189,RIVER CHAPORA AT SIOLIM,Goa,30.0,6.0,7.5,72.0,1.6,0.2,4995.0,9517.0,2014.0,176.73762492753625,1
